% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.335
% Date,"Oct 14 2025, 10:11"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
5.000000000000001E-7,8.0E-6,1.4615623654476704,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.4595322077052247E-11,0.013284056006657363
5.000000000000001E-7,8.0E-6,1.461562889300045,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.4612198151805758E-11,0.013274947404458755
6.444444444444445E-7,1.0E-6,1.2834490287814793+6.026648214445293E-12i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,6.710253112831279E-13,0.37777118634410384
6.444444444444445E-7,1.0E-6,1.303108027141516,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,6.774266007825314E-13,0.3742014671663682
6.444444444444445E-7,1.0E-6,1.3908854119044856,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,5.034863318094833E-13,0.5034774767356935
6.444444444444445E-7,1.0E-6,1.39088654560436,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,5.034862651338595E-13,0.5034775434101536
6.444444444444445E-7,2.0E-6,1.409448341901207+4.116302462645393E-11i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,2.353209222029126E-12,0.10772269016172131
6.444444444444445E-7,2.0E-6,1.4119670996400522+7.58714230013303E-15i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,2.4066148711689396E-12,0.10533219541987698
6.444444444444445E-7,2.0E-6,1.4383051310680464,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.7364055991018294E-12,0.14598779688424798
6.444444444444445E-7,2.0E-6,1.4383085974535794,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.7366543048106794E-12,0.14596689001843885
6.444444444444445E-7,3.0E-6,1.4349618221680789-4.3874636401227245E-15i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,5.028079826654243E-12,0.05041567291087091
6.444444444444445E-7,3.0E-6,1.4356621638230354+1.7828839800038857E-16i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,5.124124834533489E-12,0.04947069716216768
6.444444444444445E-7,3.0E-6,1.4481805385652369,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,3.712636256444469E-12,0.06827871366884616
6.444444444444445E-7,3.0E-6,1.4481816681958442,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,3.71303825896088E-12,0.0682713212821273
6.444444444444445E-7,4.0E-6,1.4442323605176335-6.415784675192386E-11i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,8.698866719874084E-12,0.029141040560053337
6.444444444444445E-7,4.0E-6,1.4444871093760887+7.279724644161951E-14i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,8.817213512422746E-12,0.02874990239866553
6.444444444444445E-7,4.0E-6,1.4517975756003998,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,6.4328567374910665E-12,0.03940613606906101
6.444444444444445E-7,4.0E-6,1.4518009389440991,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,6.437006533578943E-12,0.03938073180258331
6.444444444444445E-7,4.9999999999999996E-6,1.448623427841797+1.698348805457844E-13i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.337530352889284E-11,0.01895239441577982
6.444444444444445E-7,4.9999999999999996E-6,1.4487354352464972+4.627421402390685E-15i,4.651951934482758E14,6.444444444444445E-7,1.4566875994205852,1.3520499292374294E-11,0.018748865883475335
