% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 11:52"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
1.6555555555555557E-6,5.999999999999999E-6,1.4289309693722299-6.657721674339762E-14i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,1.5335938518437966E-11,0.006434267294715595
1.6555555555555557E-6,7.0E-6,1.432437228759075+6.582056680459914E-12i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,2.047912743664792E-11,0.0048183462868819395
1.6555555555555557E-6,8.0E-6,1.43475815106856-2.4016002332036977E-11i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,2.6368987812561244E-11,0.0037421052466772753
1.8000000000000001E-6,1.0E-6,1.1167341406438285+5.1850978320862346E-9i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,7.122019445369996E-13,0.1274317232631344
1.8000000000000001E-6,2.0E-6,1.3228672057627484-4.310732172853656E-11i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,2.2558900225346367E-12,0.040231181572288575
1.8000000000000001E-6,3.0E-6,1.3827583802595265+1.1458292833977673E-11i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,4.470038241343786E-12,0.020303432812785432
1.8000000000000001E-6,4.0E-6,1.4064217717223289+1.7632625316646343E-10i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,7.413099711658634E-12,0.012242803231281345
1.8000000000000001E-6,4.9999999999999996E-6,1.418093673147989,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,1.1095819353564948E-11,0.008179397862542346
1.8000000000000001E-6,5.999999999999999E-6,1.4246924723175274-2.6306339273196542E-14i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,1.55220900724264E-11,0.0058469652398762334
1.8000000000000001E-6,7.0E-6,1.4287884630929881-1.4436109611628803E-14i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,2.0692313623446224E-11,0.004386030617710592
1.8000000000000001E-6,8.0E-6,1.431503953246545-1.0085909847717E-11i,1.6655136555555553E14,1.8000000000000001E-6,1.4408743217797049,2.6609360806837147E-11,0.0034107215788657923
