% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 13:26"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
1.1217391304347827E-6,7.0E-6,1.444093106368398+1.355480056356126E-13i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,1.9721438731548563E-11,0.007384528172258818
1.1217391304347827E-6,8.0E-6,1.4452012216190209-3.529508954075613E-14i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,2.551488875843332E-11,0.005707785806530744
1.1782608695652175E-6,1.0E-6,1.2648393923630754-1.1516677189247337E-15i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,6.195090477765715E-13,0.22380207455725643
1.1782608695652175E-6,2.0E-6,1.392166901477477-7.645075439020453E-11i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,1.9713353708787274E-12,0.07033172140445326
1.1782608695652175E-6,3.0E-6,1.4215862629114473+2.783348468821896E-10i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,4.048603940082868E-12,0.03424573313450594
1.1782608695652175E-6,4.0E-6,1.43272199197426+1.2169812867821538E-15i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,6.869433996832692E-12,0.020183236371921428
1.1782608695652175E-6,4.9999999999999996E-6,1.4381039493168175-1.3205114660065063E-12i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,1.0434767493606562E-11,0.013287062714558538
1.1782608695652175E-6,5.999999999999999E-6,1.4411067980108359+2.8169112921552254E-10i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,1.4743181281375124E-11,0.009404171830576263
1.1782608695652175E-6,7.0E-6,1.442955578074422+8.739104395849125E-14i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,1.9799510835034967E-11,0.007002567450002475
1.1782608695652175E-6,8.0E-6,1.4441729919184987+2.1055887822113142E-13i,2.5443640346863466E14,1.1782608695652175E-6,1.4482995263145464,2.5602760509645806E-11,0.005415330508878211
1.2347826086956523E-6,1.0E-6,1.2504100723620635-2.893361075050433E-15i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,6.303141656466749E-13,0.2098967164824281
1.2347826086956523E-6,2.0E-6,1.3865875094124989-6.663138944320759E-11i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,1.997066870022551E-12,0.06624759326166399
1.2347826086956523E-6,3.0E-6,1.4185092912785233-1.7798114151572982E-11i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,4.08565275543977E-12,0.03238182039465999
1.2347826086956523E-6,4.0E-6,1.4306342871088724+6.838617815559213E-16i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,6.9170643003872196E-12,0.01912673758348496
1.2347826086956523E-6,4.9999999999999996E-6,1.4365049591610943-5.339389231581783E-13i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,1.049273687175113E-11,0.012608805056170123
1.2347826086956523E-6,5.999999999999999E-6,1.4397844708336307+1.2877232776610673E-10i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,1.4811665378878257E-11,0.008932207846813912
1.2347826086956523E-6,7.0E-6,1.4418050608296846-1.2823785609423474E-9i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,1.9878087120614783E-11,0.006655613939049211
1.2347826086956523E-6,8.0E-6,1.4431364362425385+2.457488551925158E-13i,2.427896666901408E14,1.2347826086956523E-6,1.4476568844244275,2.5691264769169868E-11,0.005149644243297922
1.2913043478260871E-6,1.0E-6,1.235971702233789-1.1358428582815377E-14i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,6.40679313904434E-13,0.19746216811029044
1.2913043478260871E-6,2.0E-6,1.380854474396318-8.91628472851189E-11i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,2.0228977016236744E-12,0.0625389639255806
1.2913043478260871E-6,3.0E-6,1.4153458165928035-1.3974826501669122E-10i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,4.122979257201226E-12,0.030684104501864692
1.2913043478260871E-6,4.0E-6,1.4284931038946032+2.6274397257458377E-16i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,6.965054595752133E-12,0.01816352257513374
1.2913043478260871E-6,4.9999999999999996E-6,1.4348702578612458-2.3578772589232946E-13i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,1.0551118068038994E-11,0.011990191520100741
1.2913043478260871E-6,5.999999999999999E-6,1.4384370165914293+4.248875222624461E-11i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,1.4880598332445763E-11,0.00850166932542892
1.2913043478260871E-6,7.0E-6,1.4406361897333357-7.080983819139282E-10i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,1.9957165119370935E-11,0.006339072991092763
1.2913043478260871E-6,8.0E-6,1.4420861364077007-3.23395409195915E-14i,2.3216250956228953E14,1.2913043478260871E-6,1.4470173890988547,2.5780382285049946E-11,0.004907216851487342
1.3478260869565217E-6,1.0E-6,1.2215909761461012-7.326147716468972E-15i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,6.505778442684109E-13,0.18630310342917006
1.3478260869565217E-6,2.0E-6,1.3749694988346166-1.424639049812208E-10i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,2.048805599445846E-12,0.059158697849248015
1.3478260869565217E-6,3.0E-6,1.412093257460149-1.2769060866715866E-10i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,4.160576612188193E-12,0.029131700412486448
1.3478260869565217E-6,4.0E-6,1.426294836648638+1.9608446785096995E-9i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,7.013403827712475E-12,0.01728186118850609
1.3478260869565217E-6,4.9999999999999996E-6,1.4331958515405323-1.0845721129070109E-13i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,1.0609916103177467E-11,0.011423716288686369
1.3478260869565217E-6,5.999999999999999E-6,1.4370602596069468+1.175852358993549E-11i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,1.4949983704615905E-11,0.00810734471717461
1.3478260869565217E-6,7.0E-6,1.439444695654197+4.4432317099998086E-11i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,2.0036747856667665E-11,0.00604911896264297
1.3478260869565217E-6,8.0E-6,1.4410177666330466+5.807201393585001E-10i,2.2242666238709678E14,1.3478260869565217E-6,1.4463766003457135,2.5870099333595048E-11,0.004685125860806697
1.4043478260869567E-6,1.0E-6,1.2073366622986916-7.299512123051459E-13i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,6.599897159208256E-13,0.17625496581856395
1.4043478260869567E-6,2.0E-6,1.3689352058959539-9.459295962860415E-11i,2.134745056965944E14,1.4043478260869567E-6,1.445730908081536,2.074767314449978E-12,0.056067234147202216
